observation_date,ROWFDIQ027S
1946-10-01,-4
1947-01-01,
1947-04-01,
1947-07-01,
1947-10-01,10
1948-01-01,
1948-04-01,
1948-07-01,
1948-10-01,34
1949-01-01,
1949-04-01,
1949-07-01,
1949-10-01,56
1950-01-01,
1950-04-01,
1950-07-01,
1950-10-01,80
1951-01-01,
1951-04-01,
1951-07-01,
1951-10-01,90
1952-01-01,56
1952-04-01,44
1952-07-01,-88
1952-10-01,516
1953-01-01,76
1953-04-01,-180
1953-07-01,44
1953-10-01,692
1954-01-01,68
1954-04-01,200
1954-07-01,172
1954-10-01,56
1955-01-01,56
1955-04-01,16
1955-07-01,-44
1955-10-01,760
1956-01-01,372
1956-04-01,444
1956-07-01,440
1956-10-01,-328
1957-01-01,216
1957-04-01,260
1957-07-01,72
1957-10-01,72
1958-01-01,360
1958-04-01,392
1958-07-01,368
1958-10-01,-728
1959-01-01,516
1959-04-01,656
1959-07-01,504
1959-10-01,-724
1960-01-01,416
1960-04-01,292
1960-07-01,364
1960-10-01,188
1961-01-01,380
1961-04-01,448
1961-07-01,220
1961-10-01,196
1962-01-01,220
1962-04-01,380
1962-07-01,228
1962-10-01,556
1963-01-01,276
1963-04-01,516
1963-07-01,448
1963-10-01,-316
1964-01-01,340
1964-04-01,444
1964-07-01,212
1964-10-01,292
1965-01-01,720
1965-04-01,-88
1965-07-01,552
1965-10-01,472
1966-01-01,488
1966-04-01,420
1966-07-01,-128
1966-10-01,924
1967-01-01,836
1967-04-01,832
1967-07-01,540
1967-10-01,584
1968-01-01,1436
1968-04-01,544
1968-07-01,536
1968-10-01,716
1969-01-01,1300
1969-04-01,908
1969-07-01,1032
1969-10-01,1812
1970-01-01,2480
1970-04-01,904
1970-07-01,1492
1970-10-01,980
1971-01-01,900
1971-04-01,700
1971-07-01,-1168
1971-10-01,1036
1972-01-01,-836
1972-04-01,1028
1972-07-01,1568
1972-10-01,2040
1973-01-01,3828
1973-04-01,4804
1973-07-01,2132
1973-10-01,436
1974-01-01,7136
1974-04-01,2156
1974-07-01,6440
1974-10-01,3312
1975-01-01,1112
1975-04-01,3480
1975-07-01,344
1975-10-01,5476
1976-01-01,5884
1976-04-01,4344
1976-07-01,3996
1976-10-01,3160
1977-01-01,3920
1977-04-01,3860
1977-07-01,4092
1977-10-01,3044
1978-01-01,5424
1978-04-01,9252
1978-07-01,10480
1978-10-01,6432
1979-01-01,6216
1979-04-01,13416
1979-07-01,13528
1979-10-01,14352
1980-01-01,13284
1980-04-01,23024
1980-07-01,18852
1980-10-01,12512
1981-01-01,12584
1981-04-01,21176
1981-07-01,22020
1981-10-01,45004
1982-01-01,8616
1982-04-01,11784
1982-07-01,11396
1982-10-01,18740
1983-01-01,5020
1983-04-01,13148
1983-07-01,16236
1983-10-01,7080
1984-01-01,19436
1984-04-01,34500
1984-07-01,17724
1984-10-01,26208
1985-01-01,19648
1985-04-01,17504
1985-07-01,19360
1985-10-01,22472
1986-01-01,13720
1986-04-01,22080
1986-07-01,34984
1986-10-01,70892
1987-01-01,51532
1987-04-01,34372
1987-07-01,83052
1987-10-01,64920
1988-01-01,33700
1988-04-01,54864
1988-07-01,55116
1988-10-01,87260
1989-01-01,74332
1989-04-01,61300
1989-07-01,46076
1989-10-01,91380
1990-01-01,63096
1990-04-01,55092
1990-07-01,33256
1990-10-01,42544
1991-01-01,16300
1991-04-01,53512
1991-07-01,-5412
1991-10-01,28284
1992-01-01,8344
1992-04-01,23664
1992-07-01,11592
1992-10-01,35692
1993-01-01,32240
1993-04-01,45544
1993-07-01,46752
1993-10-01,80912
1994-01-01,23532
1994-04-01,23068
1994-07-01,54836
1994-10-01,83048
1995-01-01,39696
1995-04-01,47552
1995-07-01,67056
1995-10-01,76800
1996-01-01,114072
1996-04-01,64740
1996-07-01,61032
1996-10-01,106164
1997-01-01,114504
1997-04-01,92600
1997-07-01,71460
1997-10-01,143836
1998-01-01,79036
1998-04-01,81564
1998-07-01,93960
1998-10-01,461620
1999-01-01,115036
1999-04-01,562804
1999-07-01,202576
1999-10-01,276004
2000-01-01,207400
2000-04-01,365568
2000-07-01,318888
2000-10-01,389484
2001-01-01,236820
2001-04-01,238256
2001-07-01,56512
2001-10-01,140596
2002-01-01,98976
2002-04-01,29880
2002-07-01,57312
2002-10-01,157664
2003-01-01,153156
2003-04-01,-16232
2003-07-01,28
2003-10-01,141096
2004-01-01,110320
2004-04-01,136672
2004-07-01,142076
2004-10-01,217856
2005-01-01,159904
2005-04-01,-32020
2005-07-01,155876
2005-10-01,182860
2006-01-01,180936
2006-04-01,266208
2006-07-01,226284
2006-10-01,315876
2007-01-01,205600
2007-04-01,268396
2007-07-01,351856
2007-10-01,85004
2008-01-01,362076
2008-04-01,274716
2008-07-01,259444
2008-10-01,377564
2009-01-01,-1288
2009-04-01,128724
2009-07-01,226532
2009-10-01,276984
2010-01-01,152096
2010-04-01,127132
2010-07-01,334432
2010-10-01,228520
2011-01-01,170096
2011-04-01,247568
2011-07-01,270528
2011-10-01,280432
2012-01-01,155892
2012-04-01,303700
2012-07-01,175072
2012-10-01,211204
2013-01-01,142684
2013-04-01,256596
2013-07-01,243816
2013-10-01,225996
2014-01-01,-293968
2014-04-01,316280
2014-07-01,424204
2014-10-01,401432
2015-01-01,956604
2015-04-01,374936
2015-07-01,254312
2015-10-01,349540
2016-01-01,566720
2016-04-01,606940
2016-07-01,475284
2016-10-01,271120
2017-01-01,393588
2017-04-01,315376
2017-07-01,282788
2017-10-01,308540
2018-01-01,132968
2018-04-01,-36956
2018-07-01,419264
2018-10-01,350384
2019-01-01,266252
2019-04-01,258772
2019-07-01,207212
2019-10-01,294516
2020-01-01,94932
2020-04-01,73912
2020-07-01,135860
2020-10-01,142816
2021-01-01,255948
2021-04-01,346852
2021-07-01,539752
2021-10-01,479468
2022-01-01,337764
2022-04-01,359012
2022-07-01,487164
2022-10-01,169636
2023-01-01,336684
2023-04-01,362824
2023-07-01,244860
2023-10-01,245408
2024-01-01,267152
2024-04-01,309928
2024-07-01,272712
2024-10-01,319544
2025-01-01,211016
2025-04-01,291968
